,Bayonetta,Bowser,Bowser Jr.,Captain Falcon,Chrom,Cloud,Corrin,Daisy,Dark Pit,Dark Samus,Diddy Kong,Donkey Kong,Dr. Mario,Duck Hunt,Falco,Fox,Ganondorf,Greninja,Ice Climbers,Ike,Incineroar,Inkling,Isabelle,Jigglypuff,Ken,King Dedede,King K. Rool,Kirby,Link,Little Mac,Lucario,Lucas,Lucina,Luigi,Mario,Marth,Mega Man,Meta Knight,Mewtwo,Mii Brawler,Mii Gunner,Mii Swordfighter,Mr. Game and Watch,Ness,Olimar,Pac Man,Palutena,Peach,Pichu,Pikachu,Piranha Plant,Pit,Pokemon Trainer,R.O.B.,Richter,Ridley,Robin,Rosalina,Roy,Ryu,Samus,Sheik,Shulk,Simon,Snake,Sonic,Toon Link,Villager,Wario,Wii Fit Trainer,Wolf,Yoshi,Young Link,Zelda,Zero Suit Samus
King Dedede,0.429,0.056,-0.2,-0.2,0.111,0.197,1,-0.545,-0.167,0.6,-,0.026,-0.8,0,0.3,0.167,0.266,0,1,0.164,0,0.229,0.231,0.294,0.143,MM,0.143,0.833,-0.185,-0.308,1,0.023,0.15,0,0.143,0.429,-0.429,0.143,0.5,1,0.091,-0.111,-0.176,0.036,-0.111,-0.538,-0.179,-0.023,-0.024,-0.2,0.2,0.714,-0.063,0.029,-0.176,0.375,1,0.143,0.133,0.111,0.226,-,0.5,0,-0.231,0.31,-0.333,0.1,0,0.091,0.228,0.06,0.37,-0.5,-0.2
King K. Rool,0.714,0.118,-0.778,-0.067,-0.133,-0.129,0.5,-1,-0.333,0.118,-1,-0.257,-0.214,0.5,0.2,0.167,-0.053,-0.111,1,0.36,-0.167,-0.111,0.231,0.167,-,-0.143,MM,0.2,-0.241,0.333,0.273,-0.222,0.167,-0.214,0.167,-1,0,-0.765,0.2,-0.2,-1,-0.111,-0.333,-0.175,0.556,0.2,0.263,-0.538,-0.147,-0.5,-0.667,-1,0.22,-0.318,0.2,1,0.6,-0.5,0.042,-,0,1,-0.1,-1,-0.093,0.231,-0.273,-0.5,1,-0.143,-0.261,-0.282,0.167,-0.333,0.2
Kirby,-0.2,-0.538,0,0.125,-1,-0.091,-0.5,-1,-0.6,-1,-,-0.385,0,1,-1,0.143,0.2,-0.111,1,0.103,-0.167,-0.294,-1,-0.4,-1,-0.833,-0.2,MM,-0.5,0.5,0.5,0,0.25,-0.2,-1,0,-1,-1,0.6,1,-,0.6,-0.857,-0.294,-0.333,-1,0,-0.2,-0.077,0.714,-0.75,-1,-0.172,0,-1,0.273,-1,1,-0.636,1,0.273,0.333,-0.333,-1,-0.385,0,-1,-0.2,-,-0.667,0,-0.25,-0.333,0,-
Link,0.111,-0.103,0.4,-0.043,0.28,-0.039,0.2,0.167,-0.259,-0.069,0.429,-0.244,-0.182,0.059,0.2,0.422,0.052,0.037,-0.167,-0.143,0.034,-0.299,0.222,0.259,0.636,0.185,0.241,0.5,MM,0.231,-0.062,0.13,0.044,0.185,0.111,0.357,0.077,0.25,0.5,-0.111,0.2,0.087,0.103,0.046,0.2,-0.385,-0.423,-0.121,-0.09,-0.071,-0.12,0,0.158,0.045,-0.242,0.137,-0.556,0.091,0.136,0,-0.25,1,-0.081,-0.333,-0.338,-0.1,0.118,0.263,-0.125,0.333,-0.266,0.171,0.231,-0.25,-0.053
Little Mac,0.2,-0.12,0,0,0.75,0.267,1,-0.143,0,0,0.333,-0.091,-1,1,-0.1,-0.167,-0.138,0,-1,-0.143,0,0.133,1,0.154,-,0.308,-0.333,-0.5,-0.231,MM,0,0.143,-0.089,-0.143,0,-1,-0.667,0.2,0.5,1,-0.6,0.2,-0.429,0.241,1,0,0.167,0.333,-0.222,0.5,0,1,0.116,0.294,-0.2,0.143,1,0.333,0,-0.5,0.176,-,-0.667,-0.2,-0.088,0.429,-0.143,-0.667,-0.273,0.333,0.419,0.143,-0.217,-0.3,-1
Lucario,1,-0.333,0,0,0,-0.071,1,-0.333,-0.333,-0.333,-,-0.4,-0.75,-,0,0.25,-0.176,-0.667,-,-0.143,-0.333,-0.444,-,0.2,-,-1,-0.273,-0.5,0.062,0,MM,-0.333,-0.2,-,-0.333,-1,-,0,-0.375,-,-,-0.5,1.25,-0.444,-,0.167,-0.667,0.333,-0.25,-0.333,-0.2,-0.143,0.111,-0.667,-0.429,-0.091,-,-1,0.15,-,-1.667,-1,-0.556,1,0.111,0,-0.714,0,-1,0.333,-0.143,0.417,-0.333,-1,1.667
Lucas,0.2,-0.097,-,-0.6,0,0.24,0,-1,-0.091,-0.2,0.333,0.027,0.2,-1,0.529,0.111,0.143,0.167,-,0.2,-0.667,-0.127,0,0.538,-0.143,-0.023,0.222,0,-0.13,-0.143,0.333,MM,0.222,0.2,-0.13,0,-0.182,-0.455,0.5,0,-0.5,0.714,0.286,-0.101,-0.333,-0.25,0.231,0,-0.263,0.043,0.059,-0.083,-0.068,0.115,-0.333,-0.214,0,0.667,0.043,-,-0.35,1,0.238,-0.6,-0.265,-0.235,0.25,0.524,0.9,0,0.132,0.122,-0.176,-0.2,-0.538
Lucina,-0.455,-0.162,-0.059,-0.175,0.359,0,0.19,-0.143,-0.355,-0.04,-0.467,-0.096,-0.174,-1,0.048,-0.083,-0.096,-0.477,0.556,-0.071,-0.059,-0.32,-0.467,0.135,0,-0.15,-0.167,-0.25,-0.044,0.089,0.2,-0.222,MM,-0.238,-0.042,0.187,-0.406,-0.302,-0.154,0.667,-0.6,-0.136,-0.286,-0.042,0.054,0.069,0,-0.356,0.095,-0.373,-0.302,-0.263,-0.203,-0.154,-0.444,-0.511,0.321,0.2,-0.067,1,-0.022,-1,0.258,-0.333,-0.303,-0.294,0.081,0.111,-0.125,0.158,-0.352,-0.144,-0.159,-0.347,-0.471
Luigi,0.4,0.086,-1,0.154,0,0.143,1,-0.333,1,0.8,0.333,0.154,-0.75,0,0.2,0.375,-0.154,0.25,1,0.154,-0.333,0.263,0.333,0.3,0.667,0,0.214,0.2,-0.185,0.143,-,-0.2,0.238,MM,0.6,1,-0.429,0,0,-,-0.667,-0.333,0.5,0.103,1,-1,-0.455,0.143,0.231,0,1,1,-0.176,-0.077,-0.077,0.538,-1,1,0.308,-,-0.077,1,-0.286,0.5,-0.294,-0.077,-0.333,0,0.5,-,-0.034,0.227,-0.125,0.185,-0.333
Mario,1,-0.265,0.111,0.409,0.714,-0.323,1,0.5,-1,0.6,1,-0.103,-0.455,-0.333,0.4,0.037,-0.067,-0.389,-1,-0.348,0,-0.1,-0.333,-0.167,-,-0.143,-0.167,1,-0.111,0,0.333,0.13,0.042,-0.6,MM,0.231,-0.167,-0.143,0.875,-0.429,-1,0.111,-0.25,-0.086,0.095,-0.8,-0.406,0,-0.22,0,0.333,-0.333,-0.106,0.067,-0.2,-0.636,0.125,0.714,-0.25,-0.333,-0.125,1,0.176,-0.167,-0.059,-0.231,0.294,0,-0.5,0.6,-0.048,-0.088,0.2,-0.538,0
